,edad,genero,salario,paises,titulo_academico,puesto_trabajo,años_experiencia,sector_laboral,tamaño_empresa,lenguaje_programacion
1693,18-29,Hombre,0-14K,Japon,Master,Business Analyst,5-10 years,Gobierno/servicio público,Multinacional,"Python, R, SQL, C, C++, Swift, Bash"
1700,30-44,Hombre,+40K,Arabia Saudi,Doctorado,Data Analyst,3-5 years,Académico/Educación,Mediana,"Python, R, SQL, C++, Java"
1722,30-44,Hombre,0-14K,Argentina,Estudios Universitarios,Business Analyst,1-3 years,Otros,Mediana,"Python, R, SQL"
1732,18-29,Hombre,0-14K,Mexico,Grado,Data Analyst,1-3 years,Tecnológico,Startup,Python
1748,18-29,Hombre,+40K,Corea del Sur,Grado,Business Analyst,3-5 years,Contabilidad/Finanzas,Multinacional,"Python, SQL"
1774,30-44,Hombre,15K-39K,Arabia Saudi,Grado,Business Analyst,10-20 years,Ventas al por menor,Pequeña,"Python, SQL, Other"
1788,30-44,Hombre,No sabe/No contesta,Francia,Master,Data Analyst,< 1 years,Envío/Transporte,Startup,"Python, R, SQL"
1796,18-29,Hombre,No sabe/No contesta,Japon,Grado,Data Analyst,< 1 years,,No sabe/No contesta,"Python, C++"
1799,18-29,Mujer,0-14K,Turquia,Master,Data Analyst,1-3 years,Contabilidad/Finanzas,Multinacional,"Python, R, SQL"
1803,18-29,Hombre,No sabe/No contesta,Turquia,Grado,Data Analyst,I have never written code,Otros,Startup,No sabe/No contesta
1818,30-44,Hombre,0-14K,India,Master,Data Analyst,1-3 years,Tecnológico,Pequeña,"Python, Julia"
1824,30-44,Hombre,15K-39K,Francia,Doctorado,Data Analyst,20+ years,Tecnológico,Multinacional, R
1830,18-29,Hombre,15K-39K,Japon,Grado,Data Analyst,1-3 years,Negocios en línea/ventas basadas en Internet,Grande,"Python, SQL"
1836,60-70+,Hombre,15K-39K,Estados Unidos,Master,Data Analyst,10-20 years,Tecnológico,Multinacional," SQL, Other"
1841,30-44,Hombre,+40K,Francia,Master,Business Analyst,10-20 years,Tecnológico,Multinacional,"Python, SQL, Java"
1842,30-44,Hombre,0-14K,Argentina,Estudios Universitarios,Data Analyst,< 1 years,Energía/Minería,Startup, SQL
1844,30-44,Hombre,No sabe/No contesta,Nigeria,Grado,Business Analyst,1-3 years,Académico/Educación,Grande,"Python, Java"
1849,30-44,Hombre,0-14K,India,Master,Business Analyst,1-3 years,Fabricación,Multinacional, R
1868,18-29,Hombre,0-14K,Ghana,Prefiero no responder,Data Analyst,10-20 years,Envío/Transporte,Mediana,Python
1871,18-29,Hombre,0-14K,India,Master,Data Analyst,1-3 years,Servicio en línea/Servicios basados ​​en Internet,Grande,"Python, SQL"
1873,18-29,Hombre,0-14K,India,Grado,Data Analyst,1-3 years,Tecnológico,Multinacional,"Python, SQL"
1892,18-29,Hombre,+40K,India,Grado,Data Analyst,3-5 years,Servicio en línea/Servicios basados ​​en Internet,Grande,"Python, R, SQL, C, C++, Java, Javascript, Bash, MATLAB"
1902,45-59,Hombre,No sabe/No contesta,Marruecos,Grado,Data Analyst,10-20 years,Otros,Startup,"Python, R, SQL, Bash"
1908,18-29,Mujer,No sabe/No contesta,India,Grado,Data Analyst,1-3 years,,No sabe/No contesta, Other
1913,18-29,Hombre,No sabe/No contesta,Otros,Grado,Data Analyst,3-5 years,,No sabe/No contesta,"Python, SQL"
1920,18-29,Mujer,No sabe/No contesta,Estados Unidos,Master,Data Analyst,< 1 years,,No sabe/No contesta,"Python, SQL, Java, Javascript"
1921,30-44,Hombre,15K-39K,India,Master,Data Analyst,I have never written code,Militar/Seguridad/Defensa,Grande,No sabe/No contesta
1930,18-29,Mujer,0-14K,India,Master,Data Analyst,< 1 years,Tecnológico,Mediana, C
1934,18-29,Hombre,0-14K,India,Master,Business Analyst,3-5 years,Tecnológico,Grande,"Python, SQL, C++"
1948,30-44,Hombre,+40K,China,Master,Data Analyst,5-10 years,Contabilidad/Finanzas,Multinacional,"Python, SQL"
1949,18-29,Hombre,0-14K,India,Master,Data Analyst,< 1 years,Académico/Educación,Startup,Python
1956,18-29,Hombre,No sabe/No contesta,Japon,Estudios Universitarios,Data Analyst,I have never written code,Marketing/CRM,Startup,No sabe/No contesta
1961,18-29,Hombre,15K-39K,España,Estudios Universitarios,Data Analyst,3-5 years,Ventas al por menor,Mediana,"Python, SQL"
1967,18-29,Hombre,+40K,China,Master,Data Analyst,1-3 years,Otros,Multinacional,"Python, SQL"
1969,18-29,Hombre,0-14K,India,Master,Data Analyst,I have never written code,Servicio en línea/Servicios basados ​​en Internet,Multinacional,No sabe/No contesta
1974,18-29,Hombre,+40K,India,Grado,Business Analyst,I have never written code,Académico/Educación,Grande,No sabe/No contesta
1979,30-44,Hombre,No sabe/No contesta,Egipto,Grado,Data Analyst,< 1 years,Radio/Comunicaciones,Grande,Python
1980,18-29,Hombre,0-14K,Polonia,Master,Data Analyst,< 1 years,Contabilidad/Finanzas,Multinacional,Python
1982,18-29,Hombre,No sabe/No contesta,Tailandia,Grado,Data Analyst,< 1 years,Otros,Startup,"Python, R, SQL"
1989,18-29,Hombre,0-14K,India,Grado,Data Analyst,1-3 years,Médico/farmacéutico,Grande,"Python, SQL"
1993,30-44,Hombre,+40K,India,Master,Business Analyst,1-3 years,Contabilidad/Finanzas,Grande,"Python, R"
2008,18-29,Hombre,0-14K,Mexico,Estudios Universitarios,Data Analyst,1-3 years,Ventas al por menor,Multinacional,"Python, R, Julia, MATLAB"
2017,30-44,Hombre,15K-39K,India,Master,Data Analyst,< 1 years,Envío/Transporte,Multinacional,"Python, SQL"
2021,18-29,Hombre,0-14K,India,Master,Data Analyst,< 1 years,Fabricación,Mediana,Python
2026,30-44,Hombre,+40K,Otros,Grado,Data Analyst,1-3 years,Otros,Startup,"Python, SQL, Javascript"
2028,30-44,Mujer,No sabe/No contesta,Egipto,Grado,Data Analyst,< 1 years,Otros,Startup,Python
2032,30-44,Hombre,No sabe/No contesta,Francia,Master,Data Analyst,3-5 years,,No sabe/No contesta,"Python, SQL, C++"
2035,18-29,Mujer,0-14K,Kenia,Master,Data Analyst,< 1 years,ONG/Servicio,Startup,"Python, SQL"
2039,30-44,Mujer,0-14K,Argentina,Master,Data Analyst,< 1 years,Médico/farmacéutico,Startup,"Python, SQL"
2052,30-44,Mujer,+40K,Emiratos Arabes,Master,Business Analyst,5-10 years,Médico/farmacéutico,Multinacional," SQL, C, C++, Java, Javascript"
2055,30-44,Hombre,+40K,Suiza,Grado,Data Analyst,1-3 years,Otros,Mediana,"Python, R, SQL, Julia, Bash"
2076,18-29,Hombre,0-14K,India,Grado,Data Analyst,I have never written code,Fabricación,Startup,No sabe/No contesta
2077,18-29,Hombre,No sabe/No contesta,Marruecos,Prefiero no responder,Data Analyst,< 1 years,,No sabe/No contesta,Python
2085,30-44,Hombre,0-14K,Nigeria,Grado,Data Analyst,1-3 years,Ventas al por menor,Mediana,Python
2088,30-44,Hombre,0-14K,India,Master,Data Analyst,< 1 years,Contabilidad/Finanzas,Startup,Python
2097,18-29,Mujer,+40K,Estados Unidos,Grado,Data Analyst,< 1 years,Contabilidad/Finanzas,Pequeña,"Python, MATLAB"
2100,18-29,Hombre,0-14K,Otros,Master,Data Analyst,3-5 years,Gobierno/servicio público,Startup,"Python, R, SQL"
2118,30-44,Hombre,15K-39K,Otros,Master,Data Analyst,1-3 years,Contabilidad/Finanzas,Pequeña,"Python, SQL"
2119,18-29,Hombre,No sabe/No contesta,Kenia,Grado,Business Analyst,< 1 years,Seguro/Evaluación de Riesgos,Pequeña,"Python, R"
2121,18-29,Mujer,No sabe/No contesta,Turquia,Grado,Business Analyst,1-3 years,Tecnológico,Mediana,"Python, SQL, MATLAB"
2123,18-29,Hombre,0-14K,India,Grado,Data Analyst,1-3 years,Contabilidad/Finanzas,Pequeña,"Python, R, SQL, MATLAB"
2125,45-59,Mujer,No sabe/No contesta,Otros,Estudios Universitarios,Data Analyst,I have never written code,Académico/Educación,Startup,No sabe/No contesta
2126,18-29,Hombre,0-14K,India,Grado,Data Analyst,< 1 years,Gobierno/servicio público,Startup,"Python, R"
2135,30-44,Mujer,0-14K,Mexico,Master,Business Analyst,3-5 years,Marketing/CRM,Startup,"Python, R, SQL"
2137,18-29,Hombre,15K-39K,Taiwan,Master,Data Analyst,5-10 years,Gobierno/servicio público,Pequeña,"Python, R, C++, MATLAB"
2142,30-44,Mujer,0-14K,Sri Lanka,Master,Business Analyst,I have never written code,Fabricación,Mediana,No sabe/No contesta
2154,18-29,Mujer,0-14K,India,Grado,Data Analyst,< 1 years,Radio/Comunicaciones,Multinacional,"Python, SQL"
2156,18-29,Mujer,0-14K,Rusia,Master,Business Analyst,< 1 years,Marketing/CRM,Grande,"Python, SQL, MATLAB"
2163,45-59,Mujer,+40K,Estados Unidos,Master,Data Analyst,5-10 years,Militar/Seguridad/Defensa,Multinacional,"Python, SQL"
2175,18-29,Mujer,0-14K,Arabia Saudi,Master,Data Analyst,5-10 years,Tecnológico,Pequeña,"Python, Java"
2187,18-29,Hombre,0-14K,Otros,Grado,Data Analyst,5-10 years,Médico/farmacéutico,Startup,"Python, SQL"
2192,30-44,Hombre,0-14K,India,Master,Data Analyst,10-20 years,Tecnológico,Grande, None
2195,45-59,Hombre,15K-39K,India,Grado,Data Analyst,10-20 years,Gobierno/servicio público,Startup," SQL, Javascript"
2199,30-44,Hombre,+40K,Estados Unidos,Grado,Data Analyst,< 1 years,Tecnológico,Startup,"Python, SQL, MATLAB"
2214,18-29,Hombre,No sabe/No contesta,India,Grado,Data Analyst,1-3 years,Académico/Educación,Startup,"Python, SQL"
2216,30-44,Hombre,No sabe/No contesta,Otros,Master,Data Analyst,1-3 years,Contabilidad/Finanzas,Grande,"Python, SQL"
2219,18-29,Hombre,0-14K,India,Master,Business Analyst,< 1 years,Contabilidad/Finanzas,Mediana,"Python, SQL"
2220,30-44,Hombre,0-14K,Indonesia,Master,Data Analyst,1-3 years,Académico/Educación,Grande,Python
2235,30-44,Hombre,0-14K,Brasil,Grado,Business Analyst,< 1 years,Tecnológico,Startup,Python
2237,18-29,Hombre,0-14K,Brasil,Master,Business Analyst,5-10 years,Energía/Minería,Startup,"Python, R, SQL, C, Javascript, MATLAB"
2238,30-44,Hombre,0-14K,Rusia,Prefiero no responder,Business Analyst,< 1 years,Energía/Minería,Grande, None
2256,18-29,Hombre,+40K,China,Master,Data Analyst,3-5 years,Tecnológico,Grande,"Python, SQL"
2262,45-59,Hombre,+40K,Estados Unidos,Master,Business Analyst,< 1 years,Contabilidad/Finanzas,Multinacional,Python
2316,45-59,Hombre,0-14K,Peru,Prefiero no responder,Business Analyst,5-10 years,Académico/Educación,Pequeña,"Python, SQL"
2317,18-29,Hombre,No sabe/No contesta,Pakistan,Master,Data Analyst,< 1 years,Tecnológico,Startup, Javascript
2340,30-44,Hombre,15K-39K,Japon,Grado,Business Analyst,I have never written code,Fabricación,Pequeña,No sabe/No contesta
2350,18-29,Hombre,0-14K,India,Master,Business Analyst,I have never written code,Tecnológico,Mediana,No sabe/No contesta
2404,30-44,Hombre,+40K,Francia,Master,Business Analyst,3-5 years,Fabricación,Grande," R, SQL, Other"
2410,30-44,Hombre,+40K,Indonesia,Doctorado,Business Analyst,3-5 years,Contabilidad/Finanzas,Multinacional, SQL
2418,30-44,Hombre,No sabe/No contesta,Otros,Master,Data Analyst,10-20 years,Académico/Educación,Startup,"Python, R, SQL, C, C++"
2419,18-29,Hombre,0-14K,India,Master,Business Analyst,I have never written code,ONG/Servicio,Multinacional,No sabe/No contesta
2424,30-44,Mujer,+40K,Estados Unidos,Master,Data Analyst,1-3 years,Seguro/Evaluación de Riesgos,Grande,"Python, R, SQL"
2430,30-44,Hombre,+40K,Estados Unidos,Grado,Data Analyst,I have never written code,Tecnológico,Startup,No sabe/No contesta
2434,18-29,Mujer,No sabe/No contesta,India,Master,Business Analyst,5-10 years,,No sabe/No contesta,"Python, R, SQL"
2474,18-29,Hombre,No sabe/No contesta,India,Grado,Business Analyst,< 1 years,Tecnológico,Startup,Python
2479,30-44,Hombre,0-14K,Chile,Master,Business Analyst,< 1 years,Envío/Transporte,Grande,"Python, R, SQL"
2492,30-44,Hombre,0-14K,Otros,Master,Data Analyst,3-5 years,Gobierno/servicio público,Mediana,"Python, R, SQL, Bash"
2498,30-44,Hombre,+40K,Japon,Master,Business Analyst,< 1 years,Tecnológico,Multinacional,"Python, SQL"
2500,18-29,Hombre,+40K,Reino Unido,Master,Data Analyst,3-5 years,Seguro/Evaluación de Riesgos,Grande,"Python, R, SQL"
2502,18-29,Mujer,No sabe/No contesta,India,Estudios Universitarios,Data Analyst,3-5 years,Académico/Educación,Multinacional,"Python, SQL, C++"
2505,30-44,Hombre,No sabe/No contesta,Sudafrica,Grado,Data Analyst,3-5 years,Energía/Minería,Startup,"Python, Javascript"
2514,18-29,Hombre,0-14K,Hong Kong (S.A.R.),Master,Data Analyst,1-3 years,Académico/Educación,Mediana,Python
2522,18-29,Hombre,No sabe/No contesta,India,Master,Data Analyst,1-3 years,Servicio en línea/Servicios basados ​​en Internet,Startup,"Python, R, Javascript"
2525,30-44,Hombre,15K-39K,Arabia Saudi,Master,Data Analyst,< 1 years,Médico/farmacéutico,Pequeña,"Python, SQL"
2531,18-29,Hombre,0-14K,India,Master,Data Analyst,I have never written code,Médico/farmacéutico,Startup,No sabe/No contesta
2533,18-29,Mujer,No sabe/No contesta,Nigeria,Grado,Data Analyst,< 1 years,Negocios en línea/ventas basadas en Internet,Grande,Python
2546,30-44,Hombre,+40K,Otros,Grado,Data Analyst,20+ years,Fabricación,Grande,"Python, SQL, Other"
2564,30-44,Mujer,0-14K,Brasil,Grado,Business Analyst,< 1 years,Tecnológico,Grande," R, SQL"
2566,18-29,Hombre,0-14K,Pakistan,Grado,Data Analyst,< 1 years,Tecnológico,Pequeña, None
2568,30-44,Hombre,+40K,Estados Unidos,Estudios Universitarios,Data Analyst,1-3 years,Otros,Grande,"Python, SQL"
2578,18-29,Hombre,No sabe/No contesta,Egipto,Grado,Data Analyst,< 1 years,Hostelería/Entretenimiento/Deportes,Mediana,"Python, SQL"
2580,18-29,Hombre,15K-39K,India,Master,Business Analyst,1-3 years,Marketing/CRM,Multinacional,"Python, SQL"
2582,18-29,Hombre,15K-39K,Polonia,Master,Data Analyst,1-3 years,Fabricación,Multinacional,Python
2596,18-29,Hombre,No sabe/No contesta,Ecuador,Grado,Data Analyst,< 1 years,Médico/farmacéutico,Multinacional,Python
2613,30-44,Hombre,0-14K,Rusia,Grado,Business Analyst,< 1 years,Otros,Startup,Python
2629,30-44,Hombre,0-14K,Kenia,Master,Data Analyst,1-3 years,Gobierno/servicio público,Grande,"Python, R, SQL"
2631,45-59,Hombre,0-14K,India,Master,Business Analyst,1-3 years,Tecnológico,Grande,"Python, C++, Javascript"
2641,30-44,Hombre,No sabe/No contesta,Nigeria,Master,Data Analyst,3-5 years,Tecnológico,Startup,Python
2642,30-44,Hombre,+40K,Estados Unidos,Grado,Data Analyst,3-5 years,Contabilidad/Finanzas,Grande,"Python, R, SQL"
2652,30-44,Hombre,No sabe/No contesta,Bangladesh,Estudios Universitarios,Data Analyst,< 1 years,Gobierno/servicio público,Pequeña," R, SQL, C, Javascript, Bash"
2659,30-44,Hombre,15K-39K,Francia,Master,Data Analyst,10-20 years,Médico/farmacéutico,Pequeña,Python
2672,30-44,Prefiero no decirlo,0-14K,Malasia,Master,Data Analyst,1-3 years,Envío/Transporte,Mediana,"Python, R"
2698,18-29,Mujer,0-14K,China,Grado,Data Analyst,< 1 years,Hostelería/Entretenimiento/Deportes,Startup,"Python, SQL"
2717,45-59,Hombre,15K-39K,Ucrania,Doctorado,Business Analyst,20+ years,Radio/Comunicaciones,Startup,"Python, SQL, Other"
2725,18-29,Hombre,0-14K,Taiwan,Grado,Data Analyst,1-3 years,Contabilidad/Finanzas,Mediana,Python
2730,18-29,Hombre,No sabe/No contesta,India,Grado,Data Analyst,I have never written code,Contabilidad/Finanzas,Pequeña,No sabe/No contesta
2733,18-29,Hombre,No sabe/No contesta,Kenia,Grado,Data Analyst,1-3 years,Contabilidad/Finanzas,Startup,"Python, SQL, MATLAB"
2736,18-29,Hombre,+40K,Estados Unidos,Master,Data Analyst,5-10 years,Energía/Minería,Pequeña,"Python, SQL"
2749,45-59,Hombre,0-14K,Nigeria,Master,Business Analyst,I have never written code,Otros,Startup,No sabe/No contesta
2750,18-29,Hombre,No sabe/No contesta,Rusia,Master,Data Analyst,1-3 years,,No sabe/No contesta,"Python, SQL"
2751,18-29,Hombre,No sabe/No contesta,India,Grado,Data Analyst,< 1 years,Académico/Educación,Startup,"Python, R, SQL, MATLAB"
2759,30-44,Hombre,0-14K,India,Master,Data Analyst,1-3 years,Fabricación,Startup, R
2765,18-29,Hombre,0-14K,Indonesia,Grado,Business Analyst,I have never written code,Tecnológico,Multinacional,No sabe/No contesta
2767,18-29,Hombre,0-14K,Rusia,Master,Data Analyst,< 1 years,Energía/Minería,Pequeña, Swift
2776,18-29,Hombre,No sabe/No contesta,India,Master,Data Analyst,< 1 years,Académico/Educación,Startup,"Python, R, SQL"
2793,30-44,Hombre,15K-39K,India,Grado,Data Analyst,5-10 years,Tecnológico,Multinacional,"Python, SQL"
2802,18-29,Hombre,15K-39K,India,Master,Business Analyst,< 1 years,Contabilidad/Finanzas,Multinacional,"Python, SQL"
2803,30-44,Hombre,+40K,Singapur,Grado,Data Analyst,10-20 years,Contabilidad/Finanzas,Grande,"Python, SQL, Javascript"
2805,30-44,Hombre,+40K,Estados Unidos,Grado,Data Analyst,< 1 years,Otros,Grande,"Python, SQL, Other"
2810,18-29,Hombre,+40K,Paises Bajos,Master,Data Analyst,5-10 years,Contabilidad/Finanzas,Multinacional,"Python, SQL"
2811,45-59,Hombre,+40K,Brasil,Grado,Business Analyst,20+ years,Tecnológico,Multinacional,"Python, SQL, Other"
2821,18-29,Hombre,0-14K,Ecuador,Master,Data Analyst,1-3 years,Gobierno/servicio público,Mediana,"Python, R"
2822,45-59,Hombre,0-14K,Otros,Master,Data Analyst,20+ years,ONG/Servicio,Startup,"Python, R, C"
2826,18-29,Hombre,0-14K,India,Master,Business Analyst,< 1 years,Marketing/CRM,Multinacional,"Python, R, SQL"
2830,18-29,Hombre,15K-39K,Rusia,Master,Data Analyst,< 1 years,Militar/Seguridad/Defensa,Mediana,"Python, R, SQL, Javascript"
2842,18-29,Mujer,No sabe/No contesta,Polonia,Master,Data Analyst,< 1 years,Servicio en línea/Servicios basados ​​en Internet,Startup,Python
2855,30-44,Mujer,No sabe/No contesta,Egipto,Master,Data Analyst,1-3 years,Académico/Educación,Startup,Python
2863,30-44,Hombre,No sabe/No contesta,Francia,Master,Data Analyst,< 1 years,,No sabe/No contesta,"Python, R, SQL"
2867,30-44,Hombre,No sabe/No contesta,Nigeria,Master,Data Analyst,< 1 years,Tecnológico,Startup,"Python, R, SQL"
2869,30-44,Mujer,0-14K,Brasil,Doctorado,Data Analyst,20+ years,Académico/Educación,Mediana,"Python, R, SQL, Javascript"
2878,30-44,Hombre,No sabe/No contesta,Suiza,Master,Data Analyst,5-10 years,Contabilidad/Finanzas,Multinacional," SQL, Other"
2881,45-59,Hombre,+40K,Estados Unidos,Master,Business Analyst,< 1 years,Ventas al por menor,Startup,"Python, R, SQL"
2886,18-29,Mujer,No sabe/No contesta,India,Master,Data Analyst,1-3 years,Contabilidad/Finanzas,Pequeña,"Python, SQL"
2892,45-59,Hombre,15K-39K,Peru,Grado,Data Analyst,5-10 years,Servicio en línea/Servicios basados ​​en Internet,Startup,"Python, SQL"
2898,30-44,Hombre,No sabe/No contesta,Pakistan,Grado,Data Analyst,I have never written code,Tecnológico,Grande,No sabe/No contesta
2900,30-44,Hombre,15K-39K,Nigeria,Grado,Data Analyst,1-3 years,Gobierno/servicio público,Grande,"Python, SQL"
2902,30-44,Hombre,15K-39K,España,Master,Data Analyst,10-20 years,Contabilidad/Finanzas,Mediana,"Python, R, SQL"
2913,18-29,Mujer,15K-39K,Estados Unidos,Master,Data Analyst,< 1 years,Académico/Educación,Multinacional,"Python, R, MATLAB"
2914,18-29,Mujer,No sabe/No contesta,Egipto,Grado,Data Analyst,3-5 years,Otros,Mediana,"Python, SQL, C, C++, Java, Javascript"
2916,45-59,Hombre,15K-39K,Italia,Bachillerato,Data Analyst,3-5 years,Tecnológico,Grande, SQL
2921,45-59,Hombre,+40K,Portugal,Master,Business Analyst,10-20 years,Tecnológico,Mediana,"Python, SQL"
2930,30-44,Hombre,0-14K,Brasil,Doctorado,Data Analyst,< 1 years,Gobierno/servicio público,Grande, R
2953,30-44,Hombre,+40K,India,Master,Business Analyst,3-5 years,Servicio en línea/Servicios basados ​​en Internet,Multinacional,"Python, SQL"
2962,18-29,Hombre,No sabe/No contesta,India,Grado,Data Analyst,< 1 years,Tecnológico,Multinacional,"Python, SQL"
2963,30-44,Hombre,+40K,Otros,Master,Data Analyst,1-3 years,Fabricación,Multinacional,"Python, SQL"
2969,30-44,Mujer,No sabe/No contesta,Egipto,Doctorado Profesional,Data Analyst,10-20 years,Gobierno/servicio público,Startup,"Python, SQL, C, C++"
2970,18-29,Hombre,0-14K,India,Grado,Data Analyst,1-3 years,Servicio en línea/Servicios basados ​​en Internet,Multinacional,"Python, SQL"
2977,30-44,Mujer,No sabe/No contesta,India,Doctorado,Data Analyst,3-5 years,Académico/Educación,Startup,"Python, R, Julia, MATLAB"
2982,18-29,Hombre,0-14K,India,Grado,Data Analyst,< 1 years,Hostelería/Entretenimiento/Deportes,Pequeña,Python
2997,18-29,Mujer,No sabe/No contesta,India,Prefiero no responder,Data Analyst,< 1 years,Otros,Startup,"Python, R, SQL, C, Java"
3003,18-29,Hombre,No sabe/No contesta,India,Grado,Data Analyst,< 1 years,,No sabe/No contesta,"Python, SQL, C, C++, Java, Javascript"
3014,18-29,Mujer,0-14K,India,Grado,Data Analyst,1-3 years,Médico/farmacéutico,Grande,"Python, SQL, C++, Javascript, MATLAB"
